1054156,39129,1236,10153
896693,49252,289,2247
351785,17879,386,2788
408612,18862,207,0
5318708,252922,14229,24324
673533,91342,1480,8204
687596,54691,1429,4529
183599,6304,40,451
4467893,297950,6369,15626
2755746,74180,10611,0
2252418,75942,1789,10228
1075599,165371,1345,16237
1188373,57501,3108,3588
193411,6733,106,602
1078411,43937,611,6316
1003601,63178,457,6578
839973,53040,409,3746
188530,9596,85,1666
550553,16346,196,875
752593,17181,372,1098
1004266,79984,1435,5799
735255,12425,510,2380
943952,18945,360,1886
1392220,113937,1779,6995
2305989,129033,2482,0
7777735,425685,28512,71743
2472525,75346,25562,12833
588229,7728,181,1698
1302983,10164,604,2483
211738,4691,5637,1774
2991529,156031,6658,20243
1721052,32845,1307,3890
359151,14241,96,967
202029,8346,67,595
5106177,70692,4291,3142
122327,5520,165,393
763128,13563,1194,3207
553954,4658,792,1299
21492889,1253527,30460,76268
12152765,963058,12109,60391
12715935,404349,5106,17833
786135,37739,506,1956
17549633,1225248,25429,69533
399149,19873,245,1286
1230291,139131,1230,13594
1700772,35036,1685,3102
8261953,72552,5897,1974
6040868,75346,1499,4537
1908429,105213,2646,6591
760416,21921,599,885
1706265,13396,1216,1153
5695375,43175,1032,4087
984168,39660,1258,2513
990924,16516,1225,4106
1117748,8451,617,1116
699347,19041,256,2261
511213,6380,114,441
612670,21853,323,1241
434086,15866,2590,1099
8975648,741716,4315,59360
257782,1355,137,337
1677577,25927,1237,3282
429674,9710,251,976
7500991,239573,1002,6152
604154,41557,214,4504
2116345,20739,455,2929
6346616,42666,6433,3909
1028357,70669,525,5523
410768,24590,172,1662
1192941,28760,1525,3017
1800609,36848,2719,2194
18195428,580242,57885,64384
2489837,159338,5106,16477
236320,1920,208,330
4493596,329731,33250,35087
1158064,36695,1883,7401
2776128,154037,1554,20166
